year,value,metric,label
2020,47.4,Online Spend ($B),47.4
2021,60.9,Online Spend ($B),60.9
2022,61.6,Online Spend ($B),61.6
2023,61.5,Online Spend ($B),61.5
2024,68.9,Online Spend ($B),68.9
2025,82.6,Online Spend ($B),82.6
2020,66.2,Growth (%),66.2
2021,28.4,Growth (%),28.4
2022,1.1,Growth (%),1.1
2023,0,Growth (%),0
2024,12,Growth (%),12
2025,14,Growth (%),14
