Generation,online_spend,insight
Gen Z,14.6,44% shop online weekly
Millennials,29.7,47% shop online weekly
Gen X,22.7,32% shop online weekly
Baby Boomers,12.2,23% shop online weekly
Builders,3.4,10% shop online weekly
