State,Reports,Population
New South Wales,58794,8400000
Victoria,46254,7000000
Queensland,38888,5500000
Western Australia,19767,3000000
South Australia,13733,1850000
Tasmania,3809,580000
Northern Territory,1408,250000
Australian Capital Territory,5581,480000
